Adenbach;Germany;Rheinland-Pfalz;7.650200;49.666900;1.000000
Adenbüttel;Germany;Niedersachsen;10.450200;52.383500;1.000000
Adendorf;Germany;Niedersachsen;10.450200;53.283500;1.000000
Adenstedt;Germany;Niedersachsen;9.933530;52.000200;1.000000
Aden;Yemen;;45.000200;12.800200;3.000000
Aderstedt;Germany;Sachsen-Anhalt;11.000200;52.033500;1.000000
Aderstedt;Germany;Sachsen-Anhalt;11.683500;51.766900;1.000000
Adligenswil;Switzerland;Luzern;8.366870;47.066900;1.000000
Adliswil;Switzerland;Zürich;8.516870;47.316900;1.000000
Adlkofen;Germany;Bayern;12.266900;48.550200;1.000000
Adlwang;Austria;Oberösterreich;14.216900;47.983500;1.000000
Admannshagen-Bargeshagen;Germany;Mecklenburg-Vorpommern;11.983500;54.116900;1.000000
Admont;Austria;Steiermark;14.450200;47.566900;1.000000
Adnet;Austria;Salzburg;13.133500;47.683500;1.000000
Adoor;India;Kerala;76.440000;9.100000;5.500000
Adorf;Germany;Sachsen;12.266900;50.316900;1.000000
Aebtissinwisch;Germany;Schleswig-Holstein;9.283530;53.966900;1.000000
Aedermannsdorf;Switzerland;Solothurn;7.600200;47.300200;1.000000
Aerzen;Germany;Niedersachsen;9.266870;52.033500;1.000000
Aeschau;Switzerland;Bern;7.766870;46.900200;1.000000
Aettenschwil;Switzerland;Aargau;8.366870;47.183500;1.000000
Affalterbach;Germany;Baden-Württemberg;9.316870;48.916900;1.000000
Affeltrangen;Switzerland;Thurgau;9.033530;47.516900;1.000000
Affing;Germany;Bayern;10.983500;48.466900;1.000000
Affinghausen;Germany;Niedersachsen;8.883530;52.783500;1.000000
Affler;Germany;Rheinland-Pfalz;6.150200;50.016900;1.000000
Affoltern am Albis;Switzerland;Zürich;8.450200;47.283500;1.000000
Aflenz Kurort;Austria;Steiermark;15.233500;47.533500;1.000000
Afritz;Austria;Kärnten;13.807700;46.727100;1.000000
Afton;USA;Oklahoma;-94.932978;36.700200;-6.000000
Afton;USA;Wyoming;-110.867144;42.700200;-7.000000
Agana;Guam;;144.793256;13.481867;10.000000
Agarn;Switzerland;Valais;7.666870;46.300200;1.000000
Agathenburg;Germany;Niedersachsen;9.533530;53.566900;1.000000
Agethorst;Germany;Schleswig-Holstein;9.433530;54.016900;1.000000
Aggsbach Dorf;Austria;Niederösterreich;15.416900;48.283500;1.000000
Aggsbach Markt;Austria;Niederösterreich;15.400200;48.283500;1.000000
Agiez;Switzerland;Vaud;6.516870;46.716900;1.000000
Aglasterhausen;Germany;Baden-Württemberg;8.987140;49.357100;1.000000
Agno;Switzerland;Ticino;8.850200;45.983500;1.000000
Agra;Switzerland;Ticino;8.916870;45.966900;1.000000
Aham;Germany;Bayern;12.466900;48.533500;1.000000
Ahausen;Germany;Niedersachsen;9.316870;53.066900;1.000000
Ahaus;Germany;Nordrhein-Westfalen;7.000200;52.066900;1.000000
Ahe;Germany;Niedersachsen;9.138690;52.184500;1.000000
Ahlbeck;Germany;Mecklenburg-Vorpommern;14.200200;53.666900;1.000000
Ahlbeck;Germany;Mecklenburg-Vorpommern;14.200200;53.933500;1.000000
Ahlden (Aller);Germany;Niedersachsen;9.550200;52.766900;1.000000
Ahlefeld;Germany;Schleswig-Holstein;9.666870;54.400200;1.000000
Ahlen;Germany;Nordrhein-Westfalen;7.900200;51.766900;1.000000
Ahlerstedt;Germany;Niedersachsen;9.450200;53.400200;1.000000
Ahlsdorf;Germany;Sachsen-Anhalt;11.466900;51.550200;1.000000
Ahlstädt;Germany;Thüringen;10.683500;50.533500;1.000000
Ahlum;Germany;Sachsen-Anhalt;11.000200;52.683500;1.000000
Ahmedabad;India;Gujrat;72.580000;23.030000;5.500000
Ahnatal;Germany;Hessen;9.383530;51.350200;1.000000
Ahneby;Germany;Schleswig-Holstein;9.733530;54.716900;1.000000
Ahnsbeck;Germany;Niedersachsen;10.300200;52.616900;1.000000
Ahnsen;Germany;Niedersachsen;9.096900;52.256400;1.000000
Aholfing;Germany;Bayern;12.466900;48.950200;1.000000
Aholming;Germany;Bayern;12.916900;48.733500;1.000000
Ahorn;Germany;Baden-Württemberg;9.527140;49.508500;1.000000
Ahorn;Germany;Bayern;10.950200;50.233500;1.000000
Ahorntal;Germany;Bayern;11.433500;49.850200;1.000000
Ahrbrück;Germany;Rheinland-Pfalz;6.983530;50.466900;1.000000
Ahrensbök;Germany;Schleswig-Holstein;10.583500;54.016900;1.000000
Ahrensburg;Germany;Schleswig-Holstein;10.250200;53.683500;1.000000
Ahrensdorf;Germany;Brandenburg;14.083500;52.166900;1.000000
Ahrensfelde;Germany;Brandenburg;13.583500;52.583500;1.000000
Ahrenshagen-Daskow;Germany;Mecklenburg-Vorpommern;12.566900;54.250200;1.000000
Ahrenshöft;Germany;Schleswig-Holstein;9.066870;54.550200;1.000000
Ahrenshoop;Germany;Mecklenburg-Vorpommern;12.433500;54.383500;1.000000
Ahrenviölfeld;Germany;Schleswig-Holstein;9.283530;54.533500;1.000000
Ahrenviöl;Germany;Schleswig-Holstein;9.200200;54.533500;1.000000
Ahwahnee;USA;California;-119.420200;37.250200;-8.000000
Aichach;Germany;Bayern;11.133500;48.466900;1.000000
Aicha vorm Wald;Germany;Bayern;13.300200;48.683500;1.000000
Aichelberg;Germany;Baden-Württemberg;9.566870;48.633500;1.000000
Aichen;Germany;Baden-Württemberg;9.809520;48.529000;1.000000
Aichen;Germany;Bayern;10.550200;48.233500;1.000000
Aichhalden;Germany;Baden-Württemberg;8.416870;48.266900;1.000000
Aichstetten;Germany;Baden-Württemberg;10.083500;47.900200;1.000000
Aichtal;Germany;Baden-Württemberg;9.266870;48.633500;1.000000
Aichwald;Germany;Baden-Württemberg;9.383530;48.766900;1.000000
Aidenbach;Germany;Bayern;13.100200;48.566900;1.000000
Aidhausen;Germany;Bayern;10.433500;50.150200;1.000000
Aidlingen;Germany;Baden-Württemberg;8.916870;48.666900;1.000000
Aigen im Ennstal;Austria;Steiermark;14.133500;47.516900;1.000000
Aigen im Mühlkreis;Austria;Oberösterreich;13.966900;48.633500;1.000000
Aigle;Switzerland;Vaud;6.966870;46.316900;1.000000
Aiglsbach;Germany;Bayern;11.716900;48.700200;1.000000
Aiken;USA;South Carolina;-81.717144;33.532978;-5.000000
Ailertchen;Germany;Rheinland-Pfalz;7.933530;50.600200;1.000000
Aindling;Germany;Bayern;10.950200;48.516900;1.000000
Ainet;Austria;Tirol;12.701600;46.866300;1.000000
Ainring;Germany;Bayern;12.950200;47.816900;1.000000
Ainsworth;USA;Nebraska;-99.849922;42.532978;-6.000000
Aïre;Switzerland;Genève;6.133530;46.200200;1.000000
Airolo;Switzerland;Ticino;8.600200;46.533500;1.000000
Aislingen;Germany;Bayern;10.450200;48.500200;1.000000
Aistersheim;Austria;Oberösterreich;13.750200;48.183500;1.000000
Aiterhofen;Germany;Bayern;12.616900;48.850200;1.000000
Aitern;Germany;Baden-Württemberg;7.900200;47.800200;1.000000
Aitrach;Germany;Baden-Württemberg;10.083500;47.933500;1.000000
Aitrang;Germany;Bayern;10.533500;47.816900;1.000000
Aizawl;India;Mizoram;92.42;23.42;5.500000
Ajo;USA;Arizona;-112.917144;32.332978;-7.000000
Akelsbarg;Germany;Niedersachsen;7.598980;53.446800;1.000000
Aken;Germany;Sachsen-Anhalt;12.050200;51.850200;1.000000
Akron;USA;Ohio;-81.512144;41.083256;-5.000000
Alameda;USA;California;-122.242978;37.763256;-8.000000
Alamogordo;USA;New Mexico;-105.957144;32.899922;-7.000000
Alamo;USA;Nevada;-115.167144;37.367144;-8.000000
Albacete;Spain;;-1.856311;38.995756;1.000000
Albaching;Germany;Bayern;12.116900;48.116900;1.000000
Albany;USA;Georgia;-84.158256;31.574922;-5.000000
Albany;USA;New York;-73.750478;42.650478;-5.000000
Albany;USA;Oregon;-123.097978;44.633256;-8.000000
Albbruck;Germany;Baden-Württemberg;8.133530;47.600200;1.000000
Alberndorf in der Riedmark;Austria;Oberösterreich;14.416900;48.400200;1.000000
Alberschwende;Austria;Vorarlberg;9.816870;47.450200;1.000000
Albersdorf;Germany;Schleswig-Holstein;9.283530;54.150200;1.000000
Albersdorf;Germany;Thüringen;11.766900;50.900200;1.000000
Albershausen;Germany;Baden-Württemberg;9.566870;48.683500;1.000000
Albersroda;Germany;Sachsen-Anhalt;11.716900;51.283500;1.000000
Alberstedt;Germany;Sachsen-Anhalt;11.633500;51.450200;1.000000
Albersweiler;Germany;Rheinland-Pfalz;8.030200;49.219400;1.000000
Alberswil;Switzerland;Luzern;8.000200;47.150200;1.000000
Albertshofen;Germany;Bayern;10.166900;49.766900;1.000000
Albessen;Germany;Rheinland-Pfalz;7.333530;49.516900;1.000000
Albeuve;Switzerland;Fribourg;7.066870;46.516900;1.000000
Albig;Germany;Rheinland-Pfalz;8.121590;49.773800;1.000000
Albinen;Switzerland;Valais;7.633530;46.350200;1.000000
Albion;USA;Idaho;-113.569922;42.399922;-7.000000
Albisheim (Pfrimm);Germany;Rheinland-Pfalz;8.096870;49.649600;1.000000
Albligen;Switzerland;Bern;7.316870;46.850200;1.000000
Albsfelde;Germany;Schleswig-Holstein;10.700200;53.683500;1.000000
